match_id,venue,batting_team,bowling_team,total_runs,avg_runs,max_runs,wickets,deliveries
202328,"Arun Jaitley Stadium, Delhi",KKR,DC,115,0.8846153846153846,6,10,10
202329,"MA Chidambaram Stadium, Chennai",CSK,SRH,136,1.2142857142857142,6,3,3
202329,"MA Chidambaram Stadium, Chennai",SRH,CSK,130,1.0655737704918034,6,7,7
202330,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",GT,LSG,134,1.1166666666666667,6,6,6
202330,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,GT,126,1.0413223140495869,6,7,7
202331,"Wankhede Stadium, Mumbai",MI,PBKS,198,1.6097560975609757,6,6,6
202331,"Wankhede Stadium, Mumbai",PBKS,MI,202,1.565891472868217,6,8,8
202332,"M.Chinnaswamy Stadium, Bengaluru",RCB,RR,176,1.408,6,9,9
202332,"M.Chinnaswamy Stadium, Bengaluru",RR,RCB,171,1.3571428571428572,6,6,6
202333,"Eden Gardens, Kolkata",CSK,KKR,232,1.886178861788618,6,4,4
202333,"Eden Gardens, Kolkata",KKR,CSK,176,1.3643410852713178,6,8,8
202334,"Rajiv Gandhi International Stadium, Hyderabad",DC,SRH,140,1.1570247933884297,6,9,9
202334,"Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,136,1.1239669421487604,6,6,6
202335,"Narendra Modi Stadium, Ahmedabad",GT,MI,202,1.616,6,6,6
202335,"Narendra Modi Stadium, Ahmedabad",MI,GT,147,1.2148760330578512,6,9,9
202336,"M.Chinnaswamy Stadium, Bengaluru",KKR,RCB,193,1.544,6,5,5
202336,"M.Chinnaswamy Stadium, Bengaluru",RCB,KKR,173,1.4180327868852458,6,8,8
202337,"Sawai Mansingh Stadium, Jaipur",CSK,RR,168,1.3884297520661157,6,6,6
202337,"Sawai Mansingh Stadium, Jaipur",RR,CSK,191,1.5403225806451613,6,4,5
202338,"Punjab Cricket Association IS Bindra Stadium, Mohali",LSG,PBKS,242,1.875968992248062,6,5,5
202338,"Punjab Cricket Association IS Bindra Stadium, Mohali",PBKS,LSG,188,1.46875,6,10,10
202339,"Eden Gardens, Kolkata",GT,KKR,168,1.5272727272727273,6,3,3
202339,"Eden Gardens, Kolkata",KKR,GT,176,1.4308943089430894,6,7,7
202340,"Arun Jaitley Stadium, Delhi",DC,SRH,184,1.4959349593495934,6,6,6
202340,"Arun Jaitley Stadium, Delhi",SRH,DC,187,1.449612403100775,6,6,6
202341,"MA Chidambaram Stadium, Chennai",CSK,PBKS,192,1.5118110236220472,6,4,4
202341,"MA Chidambaram Stadium, Chennai",PBKS,CSK,188,1.504,6,6,6
